City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,wynne,35.2245,-90.7868,18.89,45,99,2.99,US,1696996428
273,san pedro,14.35,121.0167,30.7,74,75,3.09,PH,1696996550
274,surskoye,54.4821,46.7214,3.14,97,100,3.92,RU,1696996550
275,rockland,41.1668,-74.0496,13.35,92,16,0.97,US,1696996550
276,gamay,12.3854,125.2979,30.41,67,88,2.73,PH,1696996551
277,kangding,30.0513,101.9603,14.69,73,55,1.77,CN,1696996551
278,jinjing,24.575,118.5972,27.34,70,72,13.05,CN,1696996551
279,monforte de lemos,42.5216,-7.5142,18.65,50,59,0.95,ES,1696996551
280,kapa'a,22.0752,-159.319,27.99,79,40,6.17,US,1696996551
281,strezhevoy,60.7333,77.5889,3.31,91,100,3.13,RU,1696996551
282,dezhou,37.4486,116.2925,23.51,30,22,2.5,CN,1696996551
283,tuyen quang,21.8233,105.2181,28.73,54,83,0.38,VN,1696996551
284,smithers,54.7804,-127.1743,7.18,100,100,1.03,CA,1696996551
285,northwest harborcreek,42.1494,-79.9946,9.95,93,100,4.12,US,1696996552
286,nanpara,27.8667,81.5,28.1,59,0,1.24,IN,1696996552
287,rawson,-43.3002,-65.1023,6.08,46,7,1.37,AR,1696996552
288,punta alta,-38.8759,-62.0736,10.04,67,54,8.54,AR,1696996552
289,cockburn town,21.4612,-71.1419,29.24,78,65,7.43,TC,1696996552
290,knyaze-volkonskoye,48.4642,135.4567,17.19,36,2,5.81,RU,1696996552
291,new norfolk,-42.7826,147.0587,21.51,23,26,0.75,AU,1696996547
292,kone,-21.0595,164.8658,22.26,69,97,2.47,NC,1696996552
293,poronaysk,49.2167,143.1167,12.94,39,1,2.72,RU,1696996552
294,khark,29.2614,50.3306,27.01,94,0,0.0,IR,1696996552
295,lejanias,3.5251,-74.0216,20.7,79,70,2.65,CO,1696996553
296,barra de santo antonio,-9.4047,-35.5072,22.6,81,76,1.7,BR,1696996553
297,turpan,42.9333,89.1667,26.33,17,100,1.22,CN,1696996553
298,kuching,1.55,110.3333,32.12,66,40,1.03,MY,1696996463
299,tandalti,13.0167,31.8667,31.53,34,68,2.57,SD,1696996553
300,flying fish cove,-10.4217,105.6791,26.82,83,100,5.14,CX,1696996553
